gname;surname;passport;experience;departament;active;iphone
James;Garcia;P562676145;8;rrhh;yes;1
Michael;Brown;P969417519;4;macos;yes;1
Robert;Hernandez;P275230427;6;ipad;no;1
Michael;Hernandez;P540423236;2;appletv;no;1
Patricia;Williams;P661470913;8;ipad;no;1
Linda;Garcia;P780817190;0;ipad;yes;1
Mary;Williams;P644919761;1;rrhh;yes;1
Linda;Miller;P235890618;1;ipad;yes;1
Elizabeth;Jones;P565398470;10;macos;yes;1
John;Miller;P810361258;7;rrhh;yes;0
Jennifer;Brown;P110966078;6;appletv;yes;1
Mary;Miller;P320862302;11;iphone;yes;1
John;Martinez;P651250576;11;ipad;yes;1
James;Martinez;P770761143;1;appletv;yes;1
Jennifer;Garcia;P167032824;14;ipad;yes;1
James;Johnson;P985066461;2;macos;yes;1
William;Garcia;P245053086;4;macos;yes;1
Jennifer;Smith;P167367227;14;ipad;yes;1
Linda;Miller;P605646544;10;appletv;yes;1
Linda;Williams;P186870462;12;iphone;yes;1
William;Miller;P389478795;0;appletv;yes;1
Mary;Brown;P181110375;15;ipad;yes;1
Robert;Garcia;P142243977;1;appletv;yes;1
Jennifer;Garcia;P297240005;0;appletv;yes;1
Elizabeth;Jones;P584169198;0;ipad;no;1
Patricia;Brown;P861164333;14;rrhh;yes;1
Mary;Brown;P499175112;11;macos;yes;1
Mary;Martinez;P518968772;8;macos;yes;1
Elizabeth;Martinez;P227690412;8;iphone;yes;0
William;Davis;P183737611;0;macos;yes;1
Patricia;Smith;P113448081;2;appletv;yes;1
Elizabeth;Brown;P627112689;14;rrhh;yes;1
Elizabeth;Hernandez;P264665983;8;macos;yes;1
William;Martinez;P517178944;4;rrhh;yes;1
Patricia;Miller;P817197006;8;ipad;yes;1
Patricia;Garcia;P141973809;15;appletv;yes;1
Michael;Johnson;P424213940;9;appletv;yes;1
Jennifer;Martinez;P619756663;9;appletv;yes;1
Michael;Williams;P676259534;9;macos;yes;1
Michael;Johnson;P342249888;13;macos;yes;1
Patricia;Johnson;P554109662;5;appletv;yes;1
James;Brown;P413377627;5;rrhh;yes;1
Elizabeth;Williams;P348773326;5;macos;yes;1
Linda;Williams;P685386404;1;ipad;yes;1
Michael;Johnson;P906749414;6;appletv;yes;1
Robert;Davis;P896440450;10;ipad;yes;1
Linda;Hernandez;P616122562;13;iphone;yes;1
Linda;Garcia;P741416435;4;iphone;yes;1
Jennifer;Hernandez;P122341274;2;rrhh;yes;1
Robert;Hernandez;P490135696;15;appletv;yes;1
William;Garcia;P991820265;9;ipad;no;1
John;Johnson;P577309283;5;rrhh;no;1
Robert;Williams;P174186983;11;ipad;no;1
Patricia;Smith;P399083289;11;appletv;yes;1
Linda;Williams;P635163583;0;macos;yes;1
John;Hernandez;P945720235;7;rrhh;yes;1
Michael;Smith;P194264611;3;macos;yes;1
Mary;Martinez;P320944514;1;ipad;yes;1
Mary;Brown;P912962411;1;rrhh;yes;1
Robert;Davis;P981200682;2;macos;no;1
Jennifer;Smith;P974654597;8;ipad;yes;1
James;Smith;P184082733;0;iphone;yes;1
James;Garcia;P383425425;1;rrhh;yes;0
Mary;Garcia;P753065192;14;appletv;yes;1
Elizabeth;Davis;P503700459;12;macos;yes;1
James;Hernandez;P761220967;0;iphone;no;1
William;Davis;P505074355;14;appletv;yes;0
James;Garcia;P999412116;0;iphone;yes;1
William;Jones;P293992967;5;iphone;yes;1
Michael;Garcia;P935525957;5;appletv;yes;1
Patricia;Brown;P728647123;13;ipad;yes;1
Mary;Jones;P830423476;3;ipad;yes;1
Linda;Davis;P591021122;2;rrhh;yes;1
Mary;Williams;P407666206;13;rrhh;yes;1
Michael;Martinez;P243831914;0;iphone;yes;0
Jennifer;Brown;P460235316;13;appletv;yes;1
Patricia;Hernandez;P813815311;8;appletv;yes;1
Linda;Smith;P857407038;3;appletv;yes;1
James;Jones;P955986972;13;rrhh;yes;1
Elizabeth;Williams;P585147938;0;appletv;yes;1
Robert;Miller;P660524956;0;appletv;yes;1
John;Williams;P354792175;11;macos;yes;1
Robert;Williams;P341197296;2;iphone;yes;1
Linda;Miller;P417628136;14;rrhh;yes;1
John;Brown;P203342644;0;macos;yes;0
Elizabeth;Williams;P159449986;0;rrhh;yes;1
Robert;Hernandez;P519460467;5;rrhh;yes;1
William;Martinez;P356421393;9;iphone;yes;1
James;Miller;P432651101;10;macos;yes;1
Elizabeth;Williams;P194958294;10;iphone;yes;1
Michael;Davis;P179552995;10;rrhh;yes;1
Jennifer;Jones;P128272443;5;rrhh;yes;0
Jennifer;Jones;P657178955;14;iphone;yes;1
James;Smith;P545065982;15;ipad;yes;0
Robert;Miller;P226481409;5;appletv;yes;0
James;Smith;P669229347;8;rrhh;no;1
Robert;Davis;P757631958;1;iphone;yes;1
Jennifer;Williams;P165764063;14;rrhh;no;1
Michael;Hernandez;P657484240;10;macos;yes;1
William;Jones;P235762157;9;iphone;yes;1
Robert;Johnson;P846326764;6;iphone;yes;1
Elizabeth;Smith;P824963610;6;ipad;yes;1
Patricia;Garcia;P878151002;15;macos;yes;1
James;Jones;P766428003;13;iphone;yes;1
John;Smith;P347483554;8;ipad;no;1
John;Williams;P610297939;1;appletv;yes;1
William;Brown;P994776217;0;ipad;yes;1
Robert;Hernandez;P772859031;12;iphone;yes;1
Patricia;Garcia;P567790192;3;macos;no;0
Mary;Jones;P915609811;15;macos;no;1
Linda;Miller;P282800795;5;rrhh;yes;1
John;Davis;P823504979;11;ipad;yes;1
Elizabeth;Johnson;P921860233;9;ipad;yes;1
Jennifer;Garcia;P977557223;13;ipad;yes;1
Elizabeth;Brown;P885990848;0;ipad;yes;1
Michael;Brown;P666583469;1;appletv;yes;1
John;Smith;P384016508;5;iphone;yes;1
Elizabeth;Williams;P760212400;12;iphone;yes;1
James;Martinez;P987229406;8;iphone;yes;1
Linda;Johnson;P692308747;15;macos;yes;1
James;Miller;P782419104;9;iphone;yes;1
Patricia;Davis;P523514157;9;ipad;no;1
John;Johnson;P140000274;3;macos;yes;1
James;Johnson;P754926923;10;appletv;yes;1
Elizabeth;Jones;P610887634;2;rrhh;yes;1
Michael;Miller;P839958459;1;ipad;yes;1
Robert;Garcia;P616032572;11;iphone;yes;1
Patricia;Garcia;P280895542;4;macos;yes;1
James;Smith;P483999927;11;macos;yes;1
Jennifer;Davis;P887532295;3;appletv;yes;1
Jennifer;Johnson;P808178324;15;ipad;yes;1
Michael;Williams;P625781288;10;ipad;yes;1
John;Hernandez;P565645416;3;iphone;yes;1
William;Williams;P379005250;14;ipad;yes;1
Robert;Brown;P873186790;1;rrhh;yes;1
Linda;Jones;P437526843;7;iphone;no;1
Elizabeth;Johnson;P964098501;14;ipad;yes;1
Elizabeth;Garcia;P572663323;8;appletv;yes;1
William;Hernandez;P520647104;5;rrhh;yes;1
William;Brown;P345019602;3;iphone;yes;1
James;Hernandez;P620557852;11;appletv;yes;1
Michael;Davis;P273428515;1;iphone;yes;1
Mary;Martinez;P962230748;15;iphone;yes;1
Robert;Miller;P619587774;12;appletv;yes;1
John;Hernandez;P162791046;10;appletv;yes;1
Michael;Williams;P431983708;1;macos;yes;1
Patricia;Jones;P465619785;9;iphone;yes;1
Michael;Hernandez;P144918532;8;appletv;yes;1
Jennifer;Martinez;P430575004;5;iphone;yes;1
Michael;Davis;P131470523;11;rrhh;yes;1
Linda;Davis;P174189348;9;appletv;yes;1
Michael;Johnson;P974041438;14;appletv;yes;1
James;Garcia;P746008147;9;ipad;yes;1
Michael;Williams;P276293657;15;appletv;yes;1
Elizabeth;Johnson;P186956327;0;ipad;yes;1
James;Miller;P146533563;7;appletv;yes;1
Linda;Johnson;P364142458;0;ipad;yes;1
Jennifer;Hernandez;P103616599;12;rrhh;yes;1
William;Williams;P542651496;5;rrhh;yes;1
Robert;Brown;P543519794;1;ipad;yes;1
Mary;Garcia;P291879934;4;appletv;yes;1
Patricia;Williams;P212619569;2;iphone;yes;1
John;Hernandez;P990490599;8;appletv;yes;1
Robert;Brown;P512607420;5;appletv;yes;1
Elizabeth;Davis;P212748453;9;appletv;yes;1
John;Smith;P931701883;15;macos;yes;1
Mary;Davis;P861344351;6;iphone;yes;0
Elizabeth;Davis;P851976322;14;macos;yes;1
Linda;Davis;P505910082;4;iphone;yes;1
Elizabeth;Smith;P869444684;11;rrhh;yes;1
William;Miller;P686323211;0;macos;yes;1
Michael;Miller;P330829966;4;ipad;yes;1
Michael;Johnson;P307085430;8;iphone;yes;1
Robert;Williams;P402087248;13;macos;yes;1
Robert;Garcia;P226008703;9;iphone;yes;1
John;Johnson;P880248221;14;macos;no;1
Robert;Garcia;P846796338;1;rrhh;yes;1
Mary;Johnson;P159200960;10;ipad;yes;1
Robert;Miller;P121500459;7;macos;yes;1
Mary;Garcia;P255052075;11;ipad;yes;1
Elizabeth;Davis;P307019847;4;appletv;yes;1
Jennifer;Hernandez;P985653484;15;iphone;yes;1
John;Garcia;P800786920;10;appletv;no;1
Robert;Garcia;P341752768;7;ipad;yes;1
John;Smith;P441814141;5;macos;yes;1
Elizabeth;Miller;P409634917;14;iphone;yes;1
Mary;Brown;P516466346;9;macos;yes;1
Robert;Williams;P723885039;11;macos;yes;1
James;Hernandez;P309987290;14;macos;yes;1
Robert;Garcia;P720106031;0;appletv;yes;1
William;Davis;P460330038;12;appletv;yes;1
James;Martinez;P784317248;1;appletv;yes;1
Jennifer;Smith;P417082666;9;appletv;yes;1
John;Williams;P261049500;5;rrhh;yes;1
Michael;Miller;P836110108;0;ipad;yes;1
James;Smith;P737349607;11;rrhh;yes;1
William;Miller;P311594086;2;macos;yes;1
William;Miller;P664010058;1;rrhh;yes;1
James;Hernandez;P596435567;13;iphone;yes;1
Jennifer;Johnson;P541255160;10;appletv;yes;1
Patricia;Hernandez;P471558218;5;rrhh;yes;1
Elizabeth;Garcia;P548518273;11;ipad;yes;1
Patricia;Garcia;P953239649;11;iphone;yes;1
Linda;Williams;P338348157;15;iphone;yes;1
William;Johnson;P530563116;15;ipad;yes;1




